name,content,label
grotesk_medium.woff2,,fonts
wireframes_6745.fig,,design
quarterly_review_q3.pptx,slide overview agenda slide overview agenda slide overview agenda,presentations
interview_recording_6641.flac,,audio
gardening_book.epub,preface acknowledgements chapter one it was a,books
song_demo_9971.wav,,audio
document1,,other
download_3480,,other
download_1622,,other
expenses_jun.xlsx,"column,values",spreadsheets
voice_memo_8848.m4a,,audio
metrics_2016-06-21.json,"{""status"": ""ok"", ""items"": 42} {""status"": ""ok"", ""items"": 42}",data
config_4778.json,"{""status"": ""ok"", ""items"": 42} id,name,value",data
marketing_book.epub,preface acknowledgements preface acknowledgements preface acknowledgements,books
interview_recording_6950.flac,,audio
project_export_6942.7z,compressed archive contents,archives
customers_export.tsv,"{""status"": ""ok"", ""items"": 42} {""status"": ""ok"", ""items"": 42}",data
gothic_5992.otf,,fonts
scan_doc1321.jpg,,images
drone_flight_beach.mov,,videos
gardening_book.epub,,books
wireframes_8752.fig,layer mask vector artboard,design
pitch_deck_v2186.pptx,,presentations
drone_flight_city.mov,,videos
document1,,other
wireframes_8802.fig,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
song_demo_6572.wav,,audio
project_export_4046.7z,compressed archive contents compressed archive contents compressed archive contents,archives
newfile_7414,,other
meeting_notes_2023-04-14.txt,dear sir or madam dear sir or madam,documents
banner_1280.ai,,design
birthday_2022.mp4,,videos
newfile_2567,,other
IMG_3228.jpg,,images
screenshot_2026-06-18.png,,images
interview_recording_8718.flac,,audio
backup_2022-03-05.zip,,archives
banner_5326.ai,layer mask vector artboard layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
inter_bold.ttf,,fonts
wireframes_9039.fig,layer mask vector artboard,design
report_draft_6671.docx,dear sir or madam invoice total due dear sir or madam,documents
banner_251.ai,,design
export_events.csv,"id,name,value id,name,value {""status"": ""ok"", ""items"": 42} id,name,value",data
wireframes_8706.fig,layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
birthday_2017.mp4,,videos
app_component_8043.tsx,,code
gothic_2876.otf,,fonts
server_main.go,export default component export default component function render props,code
voice_memo_7063.m4a,,audio
VID_1282.mp4,,videos
drone_flight_beach.mov,,videos
letter_to_globex.txt,,documents
server_main.go,export default component,code
export_orders.csv,"{""status"": ""ok"", ""items"": 42} id,name,value",data
history_book.epub,chapter one it was a preface acknowledgements chapter one it was a chapter one it was a,books
manual_v885.pdf,agreement between parties agreement between parties invoice total due,documents
expenses_mar.xlsx,"column,values sum of expenses sum of expenses",spreadsheets
voice_memo_2206.m4a,,audio
logo_draft_v7248.psd,layer mask vector artboard layer mask vector artboard,design
expenses_apr.xlsx,sum of expenses,spreadsheets
resume_wei_kim.docx,invoice total due,documents
lecture_history.mkv,,videos
birthday_2021.mp4,,videos
birthday_2015.mp4,,videos
letter_to_globex.txt,invoice total due meeting agenda attendees,documents
export_orders.csv,"{""status"": ""ok"", ""items"": 42}",data
IMG_9252.jpg,,images
budget_2024.xlsx,sum of expenses sum of expenses,spreadsheets
scan_doc8700.jpg,,images
banner_4885.ai,layer mask vector artboard layer mask vector artboard,design
project_export_50.7z,compressed archive contents compressed archive contents compressed archive contents,archives
receipt_6352.pdf,invoice total due dear sir or madam,documents
drone_flight_beach.mov,,videos
budget_2016.xlsx,"sum of expenses column,values",spreadsheets
history_book.epub,,books
untitled_5592,,other
quarterly_review_q4.pptx,market opportunity pricing,presentations
document1,,other
calibre_4681.mobi,chapter one it was a preface acknowledgements,books
styles_main.css,,code
lease_agreement_3278.pdf,agreement between parties,documents
wireframes_5181.fig,layer mask vector artboard layer mask vector artboard layer mask vector artboard,design
podcast_ep1303.mp3,,audio
screenshot_2020-09-02.png,,images
history_book.epub,chapter one it was a,books
project_export_5335.7z,compressed archive contents compressed archive contents compressed archive contents compressed archive contents,archives
vacation_beach.jpeg,,images
podcast_ep5192.mp3,,audio
podcast_ep5948.mp3,,audio
server_main.go,export default component export default component function render props function render props,code
interview_recording_7888.flac,,audio
logo_draft_v8778.psd,layer mask vector artboard layer mask vector artboard,design
lecture_physics.mkv,,videos
app_component_5883.tsx,import pandas as pd function render props import pandas as pd,code
drone_flight_city.mov,,videos
quarterly_review_q3.pptx,slide overview agenda market opportunity pricing market opportunity pricing market opportunity pricing,presentations
project_export_9187.7z,compressed archive contents compressed archive contents compressed archive contents,archives
gothic_606.otf,,fonts
query_runner.py,export default component import pandas as pd import pandas as pd,code
project_export_4051.7z,,archives
calibre_9019.mobi,chapter one it was a preface acknowledgements,books
song_demo_926.wav,,audio
IMG_205.jpg,,images
marketing_book.epub,chapter one it was a,books
podcast_ep8379.mp3,,audio
gothic_2054.otf,,fonts
untitled_3610,,other
song_demo_5023.wav,,audio
